feature,importance_baseline,importance_degraded,importance_delta,abs_importance_delta
M4,0.0972758472758473,0.004684276425859613,-0.09259157084998769,0.09259157084998769
card6,0.08610026931229071,-0.002313837687413056,-0.08841410699970377,0.08841410699970377
M5,0.06584179474375333,0.0,-0.06584179474375333,0.06584179474375333
TransactionAmt,0.05022464243875435,-0.008246860163058442,-0.058471502601812796,0.058471502601812796
C14,0.05149911816578486,-0.003682845608532067,-0.05518196377431693,0.05518196377431693
P_emaildomain,0.04253968253968258,-0.011991307474633783,-0.05453099001431636,0.05453099001431636
C13,0.05280181106758349,0.0079363089461848,-0.04486550212139869,0.04486550212139869
addr1,0.03373794450548495,-0.008301674405515713,-0.042039618911000665,0.042039618911000665
card2,0.032499945734826396,-0.00827506647472879,-0.040775012209555185,0.040775012209555185
card5,0.03498491428172801,-0.0055344496036771424,-0.04051936388540515,0.04051936388540515
M6,0.03874396135265704,0.0,-0.03874396135265704,0.03874396135265704
R_emaildomain,0.03373794450548495,-0.0013892601037965673,-0.035127204609281516,0.035127204609281516
TransactionDT,0.03377382993091271,0.0,-0.03377382993091271,0.03377382993091271
card4,0.03375598438216939,0.0009067742288510298,-0.03284921015331836,0.03284921015331836
D2,0.030014977187924785,0.0,-0.030014977187924785,0.030014977187924785
card1,0.03125297595858334,0.0013601613432765447,-0.029892814615306795,0.029892814615306795
DeviceInfo,0.021437257156462792,-0.005069938269600578,-0.02650719542606337,0.02650719542606337
V201,0.0,0.025395762590272097,0.025395762590272097,0.025395762590272097
D15,0.023878040424803054,0.0,-0.023878040424803054,0.023878040424803054
C12,0.0011695906432748575,0.021700942224433733,0.020531351581158874,0.020531351581158874
V189,0.0,0.016847515705311233,0.016847515705311233,0.016847515705311233
V188,0.0,0.016847515705311233,0.016847515705311233,0.016847515705311233
M3,0.016590528591740112,0.0,-0.016590528591740112,0.016590528591740112
V178,0.0,-0.016048123227479394,-0.016048123227479394,0.016048123227479394
V204,0.0,-0.016048123227479394,-0.016048123227479394,0.016048123227479394
V187,0.0,0.015543545841503636,0.015543545841503636,0.015543545841503636
D1,0.021489096955271385,0.006041831348382394,-0.015447265606888992,0.015447265606888992
dist1,0.015404558435157645,0.0,-0.015404558435157645,0.015404558435157645
M8,0.01538746287743035,0.0,-0.01538746287743035,0.01538746287743035
C2,0.003517008483650441,-0.011042291276567362,-0.014559299760217803,0.014559299760217803
V45,0.0,0.014025899253852595,0.014025899253852595,0.014025899253852595
V229,0.0,-0.01378290814761901,-0.01378290814761901,0.01378290814761901
